,Altitude,Temperature,Humidity,Weirdness,Offset
ocean,-1,0,-1,0,0
deep_ocean,-1,0,-1,-1,0
warm_ocean,-1,1,-1,0,0.1
frozen_ocean,-1,-1,-1,0,0
plains,0,0,0,0,0.4
sunflower_plains,0,0,0,1,0
snowy_tundra,0,-1,0,0,0
desert,0,1,-1,0,0
desert_lakes,0,1,-1,-1,0
mountains,1,-1,0,0,0
snowy_mountains,1.5,-1,0,0,0
forest,0,0,1,-0.25,0
flower_forest,0,0,1,0.75,0
birch_forest,0,0,1,0.25,0
dark_forest,0,0,1,-1,0
taiga,0,-1,-1,0,0
snowy_taiga,1,-1,-1,-1,0
swamp,-1,1,1,0,0
river,-1,0,1,0,0
frozen_river,-1,-1,1,0,0
mushroom_fields,0,1,0,0,0
beach,-1,0,0,0,0
jungle,0,1,1,0,0
bamboo_jungle,0,1,1.5,0,0
savanna,1,0,-1,0,0
badlands,1,1,-1,0,0
ice_spikes,1,-1,0,-1,0.35
dripstone_caves,1,1,1,1,0
lush_caves,1,1,1,0,0